scenario_id,scenario_type,GeneSymbol,scenario_rank,scenario_score,formal_rank,in_formal_top30
exp_network_grid_exp_0.8000,experimental_network_weight_grid,TERT,17,0.5659507985452976,16.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,PTGS2,18,0.5637261609558251,18.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,MDM4,19,0.5614091373534017,21.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,CD38,20,0.5593500579018246,20.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,ARG1,21,0.558732063682197,19.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,PRKDC,22,0.5567543837503648,23.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,MIF,23,0.5455113453902116,27.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,MPO,24,0.5446224186367089,22.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,CCNB1,25,0.5417274843613917,25.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,G6PD,26,0.5402399371567188,26.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,GSK3B,27,0.5392625165037834,24.0,True
exp_network_grid_exp_0.8000,experimental_network_weight_grid,PGD,28,0.5377034456452215,,False
exp_network_grid_exp_0.8000,experimental_network_weight_grid,HDAC1,29,0.5374251835544673,,False
exp_network_grid_exp_0.8000,experimental_network_weight_grid,TP53,30,0.5366917708570923,,False
exp_network_grid_exp_0.8500,experimental_network_weight_grid,CDK6,1,0.7857663823190563,1.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,HSP90AB1,2,0.7637611505537298,3.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,CA2,3,0.76248538892186,2.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,PARP1,4,0.6740871083742701,4.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,ACHE,5,0.6471318334049199,5.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,KIT,6,0.6283754460696046,7.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,HSP90AA1,7,0.6169980898947609,13.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,HIF1A,8,0.6126040344132773,6.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,CDK4,9,0.6062319655498752,8.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,APEX1,10,0.6044347394226126,10.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,PRKDC,11,0.5842598660680959,23.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,CHEK1,12,0.5788751202985147,14.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,TOP2A,13,0.5773421225537596,12.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,CDK2,14,0.5765917517397587,9.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,MDM4,15,0.5756638751046561,21.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,PTPN11,16,0.5725943439844151,17.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,SYK,17,0.5710354841130364,11.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,MIF,18,0.5643927706131675,27.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,PGD,19,0.5640182443313811,,False
exp_network_grid_exp_0.8500,experimental_network_weight_grid,HDAC1,20,0.5637225908599548,,False
exp_network_grid_exp_0.8500,experimental_network_weight_grid,TP53,21,0.5629433398689938,,False
