time_ns	protein_sasa_nm2	protein_sasa_output_group_nm2
8.45	331.359	331.359
8.46	329.577	329.577
8.47	326.499	326.499
8.48	332.008	332.008
8.49	328.425	328.425
8.5	332.353	332.353
8.51	329.828	329.828
8.52	328.125	328.125
8.53	327.951	327.951
8.54	331.187	331.187
8.55	326.985	326.985
8.56	330.335	330.335
8.57	334.486	334.486
8.58	330.806	330.806
8.59	327.56	327.56
8.6	328.77	328.77
8.61	326.802	326.802
8.62	329.712	329.712
8.63	329.636	329.636
8.64	330.274	330.274
8.65	328.157	328.157
8.66	327.166	327.166
8.67	327.686	327.686
8.68	326.715	326.715
8.69	328.193	328.193
8.7	326.82	326.82
8.71	325.207	325.207
8.72	326.501	326.501
8.73	331.645	331.645
8.74	330.227	330.227
8.75	331.27	331.27
8.76	324.739	324.739
8.77	329.018	329.018
8.78	328.006	328.006
8.79	330.755	330.755
8.8	327.346	327.346
8.81	330.32	330.32
8.82	328.33	328.33
8.83	326.449	326.449
8.84	328.432	328.432
8.85	327.901	327.901
8.86	328.573	328.573
8.87	324.205	324.205
8.88	326.21	326.21
8.89	329.777	329.777
8.9	324.089	324.089
8.91	324.438	324.438
8.92	327.542	327.542
8.93	322.259	322.259
8.94	325.658	325.658
8.95	330.106	330.106
8.96	326.342	326.342
8.97	331.322	331.322
8.98	332.351	332.351
8.99	332.714	332.714
9.0	329.251	329.251
9.01	323.839	323.839
9.02	326.801	326.801
9.03	325.205	325.205
9.04	323.207	323.207
9.05	325.154	325.154
9.06	327.427	327.427
9.07	325.125	325.125
9.08	324.618	324.618
9.09	325.756	325.756
9.1	323.933	323.933
9.11	326.775	326.775
9.12	330.265	330.265
9.13	325.934	325.934
9.14	324.696	324.696
9.15	325.38	325.38
9.16	321.004	321.004
9.17	326.79	326.79
9.18	326.912	326.912
9.19	326.317	326.317
9.2	325.969	325.969
9.21	329.848	329.848
9.22	327.042	327.042
9.23	331.737	331.737
9.24	328.162	328.162
9.25	325.638	325.638
9.26	325.388	325.388
9.27	324.709	324.709
9.28	328.701	328.701
9.29	324.659	324.659
9.3	321.617	321.617
9.31	321.066	321.066
9.32	322.529	322.529
9.33	322.708	322.708
9.34	328.258	328.258
9.35	325.672	325.672
9.36	327.751	327.751
9.37	326.071	326.071
9.38	330.412	330.412
9.39	327.254	327.254
9.4	327.08	327.08
9.41	328.945	328.945
9.42	327.38	327.38
9.43	327.504	327.504
9.44	329.106	329.106
9.45	328.646	328.646
9.46	329.522	329.522
9.47	329.799	329.799
9.48	328.856	328.856
9.49	327.797	327.797
9.5	328.737	328.737
9.51	328.132	328.132
9.52	327.638	327.638
9.53	328.478	328.478
9.54	326.542	326.542
9.55	329.878	329.878
9.56	327.855	327.855
9.57	326.378	326.378
9.58	330.819	330.819
9.59	327.352	327.352
9.6	328.643	328.643
9.61	330.658	330.658
9.62	329.274	329.274
9.63	332.092	332.092
9.64	329.714	329.714
9.65	328.769	328.769
9.66	330.387	330.387
9.67	325.108	325.108
9.68	329.747	329.747
9.69	333.06	333.06
9.7	330.716	330.716
9.71	331.144	331.144
9.72	326.221	326.221
9.73	328.043	328.043
9.74	327.722	327.722
9.75	324.56	324.56
9.76	330.768	330.768
9.77	329.429	329.429
9.78	330.131	330.131
9.79	328.246	328.246
9.8	329.341	329.341
9.81	328.039	328.039
9.82	328.001	328.001
9.83	328.813	328.813
9.84	328.989	328.989
9.85	330.056	330.056
9.86	329.056	329.056
9.87	328.484	328.484
9.88	326.468	326.468
9.89	329.995	329.995
9.9	326.149	326.149
9.91	327.17	327.17
9.92	328.551	328.551
9.93	327.613	327.613
9.94	329.114	329.114
9.95	328.438	328.438
9.96	333.539	333.539
9.97	331.969	331.969
9.98	330.876	330.876
9.99	331.013	331.013
10.0	330.98	330.98
10.01	329.8	329.8
10.02	333.819	333.819
10.03	328.71	328.71
10.04	325.245	325.245
10.05	329.572	329.572
10.06	326.535	326.535
10.07	330.569	330.569
10.08	327.591	327.591
10.09	329.638	329.638
10.1	329.98	329.98
10.11	330.767	330.767
10.12	325.649	325.649
10.13	328.247	328.247
10.14	327.816	327.816
10.15	330.477	330.477
10.16	333.444	333.444
10.17	334.058	334.058
10.18	327.038	327.038
10.19	333.002	333.002
10.2	335.608	335.608
10.21	332.822	332.822
10.22	333.219	333.219
10.23	333.472	333.472
10.24	329.955	329.955
10.25	335.339	335.339
10.26	330.686	330.686
10.27	333.723	333.723
10.28	335.683	335.683
10.29	334.065	334.065
10.3	331.11	331.11
10.31	335.183	335.183
10.32	335.57	335.57
10.33	334.938	334.938
10.34	332.167	332.167
10.35	334.978	334.978
10.36	335.485	335.485
10.37	335.271	335.271
10.38	334.464	334.464
10.39	335.736	335.736
10.4	334.867	334.867
10.41	332.425	332.425
10.42	337.856	337.856
10.43	330.904	330.904
10.44	333.859	333.859
10.45	334.359	334.359
10.46	337.231	337.231
10.47	334.856	334.856
10.48	334.067	334.067
10.49	330.439	330.439
10.5	329.299	329.299
10.51	336.014	336.014
10.52	334.26	334.26
10.53	332.343	332.343
10.54	332.208	332.208
10.55	331.535	331.535
10.56	328.581	328.581
10.57	331.607	331.607
10.58	329.802	329.802
10.59	329.769	329.769
10.6	330.228	330.228
10.61	330.662	330.662
10.62	329.292	329.292
10.63	329.102	329.102
10.64	330.982	330.982
10.65	327.738	327.738
10.66	327.184	327.184
10.67	330.665	330.665
10.68	328.342	328.342
10.69	329.748	329.748
10.7	331.561	331.561
10.71	330.463	330.463
10.72	332.021	332.021
10.73	329.53	329.53
10.74	330.504	330.504
10.75	331.56	331.56
10.76	331.492	331.492
10.77	327.156	327.156
10.78	328.819	328.819
10.79	328.83	328.83
10.8	328.044	328.044
10.81	329.062	329.062
10.82	328.184	328.184
10.83	325.512	325.512
10.84	326.451	326.451
10.85	326.7	326.7
10.86	325.574	325.574
10.87	327.46	327.46
10.88	323.413	323.413
10.89	328.426	328.426
10.9	322.406	322.406
10.91	330.403	330.403
10.92	329.645	329.645
10.93	330.062	330.062
10.94	325.559	325.559
10.95	327.917	327.917
10.96	330.48	330.48
10.97	329.557	329.557
10.98	335.919	335.919
10.99	331.498	331.498
11.0	329.197	329.197
11.01	329.207	329.207
11.02	328.918	328.918
11.03	327.576	327.576
11.04	327.425	327.425
11.05	325.54	325.54
11.06	323.47	323.47
11.07	322.637	322.637
11.08	326.413	326.413
11.09	323.359	323.359
11.1	322.598	322.598
11.11	322.273	322.273
11.12	326.097	326.097
11.13	320.22	320.22
11.14	319.42	319.42
11.15	323.647	323.647
11.16	328.164	328.164
11.17	326.802	326.802
11.18	326.182	326.182
11.19	324.47	324.47
11.2	320.525	320.525
11.21	326.934	326.934
11.22	326.837	326.837
11.23	326.752	326.752
11.24	326.487	326.487
11.25	331.47	331.47
11.26	324.121	324.121
11.27	327.706	327.706
11.28	326.204	326.204
11.29	326.762	326.762
11.3	329.217	329.217
11.31	329.158	329.158
11.32	324.599	324.599
11.33	325.871	325.871
11.34	328.273	328.273
11.35	321.46	321.46
11.36	328.712	328.712
11.37	328.27	328.27
11.38	326.944	326.944
11.39	326.111	326.111
11.4	328.447	328.447
11.41	329.121	329.121
11.42	328.29	328.29
11.43	329.934	329.934
11.44	330.052	330.052
11.45	332.861	332.861
11.46	328.004	328.004
11.47	327.878	327.878
11.48	330.66	330.66
11.49	328.689	328.689
11.5	325.243	325.243
11.51	326.753	326.753
11.52	330.199	330.199
