frame	time_ns	whole_protein_backbone_rmsd_nm	chain_A_backbone_rmsd_global_fit_nm	chain_B_backbone_rmsd_global_fit_nm	chain_A_backbone_rmsd_self_fit_nm	chain_B_backbone_rmsd_self_fit_nm	interface_min_heavy_distance_nm	interface_heavy_atom_contact_pairs_le_0_40_nm	interface_heavy_atom_contact_pairs_le_0_50_nm	interface_residue_contact_pairs_le_0_40_nm	interface_residue_contact_pairs_le_0_50_nm	chain_A_B_com_distance_nm	protein_radius_of_gyration_nm	butin_heavy_rmsd_after_protein_fit_nm	protein_butin_min_heavy_distance_nm	protein_butin_heavy_contact_pairs_le_0_40_nm	pocket_butin_min_heavy_distance_nm	pocket_occupied_le_0_50_nm	pocket_occupied_le_0_40_nm	pocket_butin_com_distance_nm	interface_hydrogen_bond_count	chain_A_sasa_nm2	chain_B_sasa_nm2	protein_AB_sasa_nm2	interface_buried_sasa_total_loss_nm2	interface_buried_sasa_per_side_nm2	protein_butin_hydrogen_bond_count	protein_butin_surface_sasa_nm2	butin_sasa_nm2
49	0.49	0.0935982202212663	0.0878423848501495	0.0987816807236771	0.0872515670734816	0.0981020703636707	0.2622788577215557	88	364	28	47	2.159514073565925	1.7842942027996134	0.0470019514339867	0.2805176148942289	43	0.2805176148942289	1	1	0.2062443318493244	12.0	65.525	73.538	112.96	26.102999999999994	13.051499999999995	1.0	110.755	0.053
50	0.5	0.0892927653526717	0.0904144326882605	0.0882084267659692	0.0874236942315959	0.0871223207846325	0.2664806898013047	110	375	34	47	2.1516604366656127	1.7841053283026902	0.0472746034576461	0.2833957332262767	53	0.2833957332262767	1	1	0.2089630904889971	11.0	66.553	74.848	116.373	25.02800000000001	12.514000000000005	1.0	114.497	0.06
51	0.51	0.0880167462958491	0.0804565967900376	0.0946738012419884	0.0708119404162326	0.0863665955167596	0.2538292270531833	110	384	35	48	2.138984850878604	1.7745679771004528	0.1045207232726038	0.2998677778086242	46	0.2998677778086242	1	1	0.2013820163607442	15.0	65.45	73.294	113.743	25.001000000000005	12.500500000000002	1.0	111.926	0.06
52	0.52	0.0986368835247634	0.097962193245744	0.0992768344489701	0.085655384946269	0.0917798355475257	0.2504894215151217	101	368	31	50	2.134859938977023	1.777370462638725	0.0714275959170347	0.2745721713573454	71	0.2745721713573454	1	1	0.2513765854100184	12.0	67.512	73.038	115.103	25.447000000000017	12.723500000000008	2.0	113.432	0.038
53	0.53	0.0868376946063928	0.0812208146892778	0.091881079469131	0.0749299090569524	0.089611021764257	0.2730590204182822	99	364	33	47	2.163364906801104	1.7850142410949943	0.0775329890771251	0.2748196395289303	57	0.2748196395289303	1	1	0.2498720560437717	13.0	67.225	71.935	114.202	24.958	12.479	2.0	112.366	0.053
54	0.54	0.1033048881422718	0.0984596200084318	0.1077282111331266	0.0888427127647852	0.1051019879970175	0.2710185812685364	85	347	29	45	2.181817847637151	1.7889985057981477	0.088733230435499	0.2786211476285575	55	0.2786211476285575	1	1	0.2272916306552059	15.0	66.894	73.403	114.682	25.615000000000023	12.807500000000012	2.0	112.701	0.027
55	0.55	0.0938273286772888	0.0914928507746948	0.0960034469633421	0.0825005187967222	0.0922758173953532	0.2673024079207471	76	330	26	45	2.1697971428989016	1.7892987698365748	0.0859365157920028	0.2757428446590256	55	0.2757428446590256	1	1	0.2464442224900645	14.0	66.121	73.696	114.642	25.17500000000001	12.587500000000006	2.0	112.795	0.027
56	0.56	0.1038321705774757	0.1047411481459923	0.1029567408065415	0.0962157765202457	0.0965262734392027	0.2569318383156397	101	371	31	48	2.161039824737169	1.78215573323564	0.0682088382522808	0.2843253429467354	59	0.2843253429467354	1	1	0.2202946388146044	15.0	66.346	72.885	115.117	24.11399999999999	12.056999999999997	2.0	113.198	0.0
57	0.57	0.0992852640706313	0.1069268580398531	0.0913942891125452	0.0944500551806857	0.0817057022352033	0.2570825197528662	94	356	33	47	2.154845692814106	1.784546566787122	0.0639112379649979	0.2857368128758698	53	0.2857368128758698	1	1	0.2280117486354946	12.0	65.873	74.565	115.905	24.532999999999987	12.266499999999994	1.0	113.735	0.0
58	0.58	0.1099035892970397	0.1144079123910627	0.1054231588797225	0.0955123870869199	0.0923810559416597	0.2555264776849798	84	340	27	49	2.122089987091009	1.7730604856440777	0.0922303193469667	0.2785559027182558	51	0.2785559027182558	1	1	0.2198131363133468	12.0	66.125	73.143	114.191	25.077	12.5385	2.0	112.194	0.0
