case_id,display,series,x,value,x_unit,value_unit
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.3600001,0.1667342,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.3700001,0.1561461,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.3800001,0.1574313,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.3900001,0.1663814,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.4000001,0.1536056,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.4100001,0.166599,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.4200001,0.1602651,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.4300001,0.1613081,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.4400001,0.1598789,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.45,0.1571994,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.46,0.1688968,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.47,0.1575909,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.48,0.1546901,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.49,0.1568738,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.5,0.1567623,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.5100002,0.1581195,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.5200002,0.1597539,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.5300002,0.1613759,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.5400002,0.16289,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.5500002,0.1800086,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.5600002,0.1655543,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.5700002,0.1783606,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.5800002,0.1718255,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.5900002,0.1612679,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.6000001,0.1656624,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.6100001,0.1720294,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.6200001,0.1720106,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.6300001,0.1703074,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.6400001,0.1693599,ns,nm
