gene	subject	mean_deletion_recovery_shift	mean_overexpression_recovery_shift	bidirectional_score_min_of_arms	directionally_coherent	contrast_overexpression_minus_deletion
TOP2A	UPN20	-0.0443325862288475	0.0317078605294227	0.0317078605294227	True	0.0760404467582702
TOP2A	UPN3	-0.0530639961361885	0.0160906091332435	0.0160906091332435	True	0.069154605269432
TOP2A	UPN7	-0.1105840057134628	0.1003952771425247	0.1003952771425247	True	0.2109792828559875
TOP2A	UPN8	-0.0234104823321104	0.021294217556715	0.021294217556715	True	0.0447046998888254
TOP2A	UPN9	-0.0670895501971244	0.0136885289102792	0.0136885289102792	True	0.0807780791074036
TERT	UPN1	-0.0109204445034265	0.0042152591049671	0.0042152591049671	True	0.0151357036083936
TERT	UPN10	-0.0035926112905144	-0.0328393839299678	-0.0328393839299678	False	-0.029246772639453397
TERT	UPN11	-0.0375909805297851	-0.0066861775703728	-0.0066861775703728	False	0.0309048029594123
TERT	UPN13	-0.0601237751543521	-0.0223289206624031	-0.0223289206624031	False	0.037794854491949
TERT	UPN20	-0.0038318529259413	0.0216739457100629	0.0038318529259413	True	0.0255057986360042
TERT	UPN7	-0.1055967360734939	-0.0513114929199218	-0.0513114929199218	False	0.0542852431535721
TERT	UPN8	-0.0249218866229057	0.0061801942065358	0.0061801942065358	True	0.0311020808294415
TERT	UPN9	-0.0834062546491622	-0.0501550361514091	-0.0501550361514091	False	0.033251218497753095
CD38	UPN1	-0.0304251350462436	-0.0021226818207651	-0.0021226818207651	False	0.028302453225478502
CD38	UPN10	0.0031251800246536	-0.0079682320356369	-0.0079682320356369	False	-0.0110934120602905
CD38	UPN11	-0.0069765234366059	-0.0585436820983886	-0.0585436820983886	False	-0.0515671586617827
CD38	UPN12	-0.0069525251165032	-0.041455328464508	-0.041455328464508	False	-0.034502803348004804
CD38	UPN13	-0.0571121349930763	0.0040874425321817	0.0040874425321817	True	0.061199577525257995
CD38	UPN14	-0.0110027324408292	-0.0345104783773422	-0.0345104783773422	False	-0.023507745936513003
CD38	UPN17	-0.0352807641029357	-0.017128188163042	-0.017128188163042	False	0.0181525759398937
CD38	UPN18	-0.0187140852212905	-0.0093382187187671	-0.0093382187187671	False	0.009375866502523401
CD38	UPN19	-0.0089916046708822	-0.0080912662670016	-0.0080912662670016	False	0.0009003384038806014
CD38	UPN2	-0.0010601400863379	-0.0038410513661801	-0.0038410513661801	False	-0.0027809112798422003
CD38	UPN20	-0.0237361956387758	-0.0258300453424453	-0.0258300453424453	False	-0.0020938497036694995
CD38	UPN3	-0.0189904030412435	0.0013251090422272	0.0013251090422272	True	0.0203155120834707
CD38	UPN7	-0.007112830877304	0.0076709724962711	0.007112830877304	True	0.0147838033735751
CD38	UPN8	-0.0155146736651659	0.0050995294004678	0.0050995294004678	True	0.020614203065633697
CD38	UPN9	-0.0079587399959564	-0.0073787998408079	-0.0073787998408079	False	0.0005799401551485001
