"candidate","gene","Z","p.adj","significant"
"GSK3B","CLDN5",1.74729269751293,0.0412532984914851,TRUE
"GSK3B","RGS18",1.74642828391289,0.0412532984914851,TRUE
"GSK3B","DAPP1",1.74462372564528,0.0421614795025571,TRUE
"GSK3B","ABCC3",1.73646224723538,0.0468590591696586,TRUE
"GSK3B","KIF2A",1.73099577763726,0.0499187806528489,TRUE
"GSK3B","PGF",1.4629392688199,0.5322752835899,FALSE
"GSK3B","GYPC",1.35415335696433,0.929572236189645,FALSE
"GSK3B","C1orf228",1.28153745125732,0.999999999643846,FALSE
"GSK3B","IMPDH2",1.2239437304124,0.999999999643846,FALSE
"GSK3B","ZFP36L2",1.20482557689352,0.999999999643846,FALSE
"GSK3B","CDCA7",1.08044326473249,0.999999999643846,FALSE
"GSK3B","SMIM24",1.0555416874994,0.999999999643846,FALSE
"GSK3B","CD34",0.920931669805783,0.999999999643846,FALSE
"GSK3B","RPS6",0.897650583212937,0.999999999643846,FALSE
"GSK3B","RPS18",0.85027608475361,0.999999999643846,FALSE
"GSK3B","AURKA",0.391385299394243,0.999999999643846,FALSE
"GSK3B","SELK",0.214072973263255,0.999999999643846,FALSE
"GSK3B","SPINK2",-0.280521049915067,0.999999999643846,FALSE
"HIF1A","PRSS57",3.95279782419757,0,TRUE
"HIF1A","SMIM24",2.85760953342834,2.77007522225486e-22,TRUE
"HIF1A","GYPC",2.42101707562014,5.29534864422076e-05,TRUE
"HIF1A","CDCA7",2.39572752671755,0.000133365300558088,TRUE
"HIF1A","RPS18",2.32120290957474,0.0020927760929752,TRUE
"HIF1A","C1orf228",2.30974044736789,0.00267180448548298,TRUE
"HIF1A","CD34",2.26811198196694,0.00893971064576367,TRUE
"HIF1A","SPINK2",2.26315223413364,0.009226343123094,TRUE
"HIF1A","RPS6",2.22853789778496,0.0222313464977312,TRUE
"HIF1A","IMPDH2",2.22467040615389,0.0224262491570518,TRUE
"HIF1A","ZFP36L2",2.19351264294102,0.042665609876147,TRUE
"HIF1A","PGF",1.83806222703129,0.999999999902037,FALSE
"HIF1A","SELK",1.6379463356831,0.999999999902037,FALSE
