"gene","distance","Z","FC","p.value","p.adj","candidate","significant","neg_log10_q","response_rank"
"RPL37",7.68082863705028e-09,1.67374250016708,5.26881657402434,0.0217107674389899,0.890598940404193,"TERT",FALSE,0.0503178259091365,70
"RPL31",7.67040226762148e-09,1.67336263924132,5.25452193342245,0.0218898139855265,0.890598940404193,"TERT",FALSE,0.0503178259091365,71
"FCER1G",7.6441877875596e-09,1.6724053116999,5.2186674432044,0.0223456679351238,0.890598940404193,"TERT",FALSE,0.0503178259091365,72
"CSRP1",7.63229324266221e-09,1.67196986197238,5.20243932797574,0.0225552145804186,0.890598940404193,"TERT",FALSE,0.0503178259091365,73
"RSU1",7.62664985749485e-09,1.67176302713156,5.19474871292313,0.0226552302944593,0.890598940404193,"TERT",FALSE,0.0503178259091365,74
"CSF3R",7.62209434760121e-09,1.67159595328978,5.18854476703503,0.0227362468910666,0.890598940404193,"TERT",FALSE,0.0503178259091365,75
"PDLIM5",7.6152352457504e-09,1.67134420838175,5.17921065431489,0.022858706137041,0.890598940404193,"TERT",FALSE,0.0503178259091365,76
"DAAM1",7.53087148985723e-09,1.66822937020469,5.06509273435991,0.0244123992462392,0.929511760198833,"TERT",FALSE,0.031745111156042,77
"NASP",7.51467187742768e-09,1.66762730417475,5.04332519046685,0.0247209940507576,0.929511760198833,"TERT",FALSE,0.031745111156042,78
"PLAC8",7.51123069761613e-09,1.66749924569624,5.03870728686639,0.0247869802719689,0.929511760198833,"TERT",FALSE,0.031745111156042,79
"RPL32",7.42356086251149e-09,1.66421700043646,4.92177181214183,0.0265203058139104,0.979785504639391,"TERT",FALSE,0.00886898996816831,80
"RPS15",7.41081615292164e-09,1.66373666292841,4.90488700191298,0.0267808037934767,0.979785504639391,"TERT",FALSE,0.00886898996816831,81
"PDLIM1",7.37606898984751e-09,1.66242290525898,4.85899965171864,0.0275022779548897,0.987645129430162,"TERT",FALSE,0.00539907364624615,82
"EIF4B",7.35296895867447e-09,1.66154611983898,4.82861292816797,0.027991141690008,0.987645129430162,"TERT",FALSE,0.00539907364624615,83
"CMAS",7.3269341119632e-09,1.66055466589946,4.79447987472809,0.0285510758791454,0.987645129430162,"TERT",FALSE,0.00539907364624615,84
"PDLIM7",7.32363154974509e-09,1.66042864917616,4.79015869500888,0.0286227893500651,0.987645129430162,"TERT",FALSE,0.00539907364624615,85
"RPS24",7.29635684737723e-09,1.65938576526785,4.75454607089883,0.0292209991653548,0.987645129430162,"TERT",FALSE,0.00539907364624615,86
"PLEK",7.29090731778532e-09,1.65917693284665,4.74744653775951,0.0293418033908489,0.987645129430162,"TERT",FALSE,0.00539907364624615,87
"LAT",7.28878380671033e-09,1.659095515548,4.74468150818089,0.0293889932191195,0.987645129430162,"TERT",FALSE,0.00539907364624615,88
"FBL",7.27253284571872e-09,1.6584716606691,4.72354775545128,0.0297522975011796,0.987645129430162,"TERT",FALSE,0.00539907364624615,89
"CD151",7.25382393102267e-09,1.6577517366363,4.69927594180475,0.0301753271752581,0.987645129430162,"TERT",FALSE,0.00539907364624615,90
"RPLP0",7.22657552723477e-09,1.6566999157266,4.66403735067325,0.0308006852836976,0.987645129430162,"TERT",FALSE,0.00539907364624615,91
"RPL9",7.21636342471764e-09,1.65630470459175,4.65086486699199,0.0310379057499545,0.987645129430162,"TERT",FALSE,0.00539907364624615,92
"CDKN2D",7.21070135558882e-09,1.65608534231893,4.64356945072874,0.0311701064189867,0.987645129430162,"TERT",FALSE,0.00539907364624615,93
"UHRF1",7.20620518368674e-09,1.65591102822383,4.63778033917887,0.0312754290986218,0.987645129430162,"TERT",FALSE,0.00539907364624615,94
"PPP1R14A",7.18860234305127e-09,1.65522753831508,4.61515028742398,0.0316907180936788,0.990334940427463,"TERT",FALSE,0.00421789815173106,95
"CCND3",7.17456580142249e-09,1.65468133360283,4.5971447001754,0.0320252507562543,0.990471672873845,"TERT",FALSE,0.0041579406105391,96
"RPL30",7.1605970216889e-09,1.65413671443418,4.57926097336086,0.0323611689181384,0.990648028106278,"TERT",FALSE,0.00408062059351557,97
"F10",4.32536457717202e-17,-3.16364285163084,1.67086886406209e-16,0.999999989686377,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,98
"FLT1",5.49763947123221e-17,-3.1081237690103,2.69928933977832e-16,0.999999986891144,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,99
"SHISA5",5.50192062147571e-17,-3.10794334654282,2.70349498577364e-16,0.999999986880936,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,100
"F2",1.05889665395047e-16,-2.95569466259837,1.00139191259601e-15,0.999999974751121,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,101
"VEGFA",1.16805624407016e-16,-2.93279306857857,1.21849692754873e-15,0.999999972148263,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,102
"S100A12",1.17717581732452e-16,-2.93097676813113,1.23759797865989e-15,0.999999971930811,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,103
"CD164",1.41726444337412e-16,-2.88758678630458,1.79390198695224e-15,0.999999966206014,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,104
"ABCB1",1.5216159441936e-16,-2.87095746778295,2.06779284588776e-15,0.999999963717803,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,105
"PSMD5-AS1",1.97596300258309e-16,-2.80969723285437,3.48702085780899e-15,0.999999952884117,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,106
"EHMT1",2.62663667939436e-16,-2.74277616784991,6.16164874455172e-15,0.999999937369118,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,107
"S100A8",2.64661926726632e-16,-2.74099175960608,6.25575695396563e-15,0.999999936892643,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,108
"ZMAT2",2.83767758851928e-16,-2.72457422116864,7.19155867500744e-15,0.999999932336949,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,109
"ELANE",2.8854363147928e-16,-2.72064138857168,7.43566669766058e-15,0.999999931198165,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,110
"BOD1L1",3.78274669868844e-16,-2.65674484058606,1.27794290028355e-14,0.999999909802233,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,111
"CLC",3.80249054776426e-16,-2.65551467550151,1.29131802743082e-14,0.99999990933145,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,112
